"Disciplina","Tema_Principal","Subtema","Frequencia_Relativa_Pct","Nivel_Calor","Codigo_Cor_Hex","Competencias_BNCC_ENEM","Descricao_Competencia_Sintese"
"Biologia","Ecologia","Impactos Ambientais e Poluição",14.5,"Muito Alta (Vermelho)","#D9534F","C3-H8, C3-H10, C3-H11","Avaliar perturbações ambientais, poluição, eutrofização e propor medidas mitigadoras e sustentáveis."
"Física","Eletricidade","Circuitos Elétricos e Eletrodinâmica",12.0,"Muito Alta (Vermelho)","#D9534F","C2-H5, C2-H6","Analisar circuitos elétricos, associação de resistores, corrente, tensão, potência e consumo de energia."
"Química","Físico-Química","Estequiometria e Concentração de Soluções",11.2,"Muito Alta (Vermelho)","#D9534F","C7-H24, C7-H25","Calcular relações quantitativas de massa/mol e concentração de soluções em processos químicos e industriais."
"Física","Ondulatória","Fenômenos Ondulatórios e Acústica",9.8,"Alta (Laranja)","#F0AD4E","C1-H1, C1-H3","Interpretar refração, difração, interferência, ressonância, eco e cancelamento de ruído em ondas sonoras e eletromagnéticas."
"Química","Química Geral e Ambiental","Separação de Misturas e Tratamento de Água",8.5,"Alta (Laranja)","#F0AD4E","C7-H24, C3-H10","Identificar e comparar processos de separação de fases (floculação, decantação, filtração, destilação) e purificação de água."
"Biologia","Ecologia","Cadeias Alimentares e Fluxo de Energia",8.2,"Alta (Laranja)","#F0AD4E","C3-H8, C3-H9","Compreender as relações tróficas entre produtores, consumidores e decompositores e a eficiência de transferência energética."
"Biologia","Citologia","Metabolismo Celular e Organelas",7.8,"Alta (Laranja)","#F0AD4E","C4-H13, C4-H14","Relacionar a ultrastrutura celular e funções de organelas (mitocôndrias, cloroplastos, citoesqueleto) à respiração e fotossíntese."
"Química","Química Orgânica","Funções Orgânicas e Propriedades Físicas",7.5,"Alta (Laranja)","#F0AD4E","C7-H24, C7-H25","Reconhecer grupos funcionais, polaridade, interações intermoleculares e pontos de ebulição/solubilidade de compostos orgânicos."
"Física","Mecânica","Conservação de Energia e Trabalho",7.2,"Média (Amarelo)","#FFD166","C2-H5, C2-H6","Aplicar o princípio de conservação e transformação da energia mecânica (cinética e potencial) e cálculo de trabalho."
"Química","Físico-Química","Termoquímica e Cinética Química",7.0,"Média (Amarelo)","#FFD166","C7-H25, C7-H26","Calcular variação de entalpia (ΔH) e analisar fatores que alteram a velocidade de reações químicos (temperatura, catalisadores)."
"Química","Físico-Química","Equilíbrio Químico e pH/pKa",6.8,"Média (Amarelo)","#FFD166","C7-H25, C7-H27","Avaliar deslocamentos de equilíbrio (Princípio de Le Chatelier), constante de acidez e variação de pH/pKa em soluções."
"Biologia","Genética e Biotecnologia","Biotecnologia e Engenharia Genética",6.5,"Média (Amarelo)","#FFD166","C4-H15, C4-H16","Compreender técnicas modernas de DNA recombinante, PCR, clonagem, terapia gênica, OGM e testes de paternidade."
"Física","Termofísica","Calorimetria e Propagação do Calor",6.4,"Média (Amarelo)","#FFD166","C2-H5, C2-H7","Calcular trocas de calor sensível/latente e analisar processos de condução, convecção e radiação térmica em sistemas."
"Biologia","Ecologia","Ciclos Biogeoquímicos",6.1,"Média (Amarelo)","#FFD166","C3-H8","Analisar a circulação de elementos químicos (Carbono, Nitrogênio, Água, Fósforo) no ecossistema e o impacto de queimadas/combustíveis."
"Química","Físico-Química","Eletroquímica (Pilhas, Eletrólise e Corrosão)",5.8,"Média (Amarelo)","#FFD166","C7-H24, C7-H26","Analisar potenciais de oxirredução, funcionamento de baterias, corrosão de metais e proteção anódica."
"Biologia","Fisiologia e Saúde","Imunologia, Vacinas e Soros",5.5,"Baixa (Verde)","#5CB85C","C4-H14, C8-H28","Diferenciar imunização ativa (vacinas) e passiva (soros) e compreender a resposta imune humoral e celular."
"Química","Química Geral","Transformações e Ligações Químicas",5.2,"Baixa (Verde)","#5CB85C","C7-H24","Correlacionar o tipo de ligação química (iónica, covalente, metálica) às propriedades físicas e químicas das substâncias."
"Biologia","Fisiologia e Saúde","Parasitoses e Saúde Pública",5.0,"Baixa (Verde)","#5CB85C","C8-H28, C8-H30","Identificar agentes etiológicos, vetores, ciclos biológicos de viroses, bacterioses, protozooses e profilaxia de doenças."
"Biologia","Genética e Biotecnologia","Genética Mendeliana e Molecular",4.8,"Baixa (Verde)","#5CB85C","C4-H13, C4-H15","Interpretar heredogramas, probabilidade genética, doação de sangue (sistema ABO/Rh) e síntese de proteínas."
"Química","Química Orgânica","Reações Orgânicas e Polímeros",4.5,"Baixa (Verde)","#5CB85C","C7-H26, C3-H10","Analisar reações de esterificação, saponificação (sabões e detergentes), polimerização e biodegradação."
"Física","Mecânica","Impulso, Colisões e Leis de Newton",4.5,"Baixa (Verde)","#5CB85C","C2-H5","Analisar variação de quantidade de movimento, força de impacto em acidentes e dispositivos de segurança veicular (airbag/pneus)."
"Física","Eletricidade","Eletromagnetismo e Indução Magnética",4.2,"Baixa (Verde)","#5CB85C","C2-H6, C2-H7","Compreender indução eletromagnética (Lei de Faraday), geradores de usinas elétricas e transformação de fluxo magnético em força eletromotriz."
"Física","Óptica","Óptica Geométrica e Lentes Corretivas",4.0,"Baixa (Verde)","#5CB85C","C1-H1, C1-H2","Analisar a propagação retilínea da luz, refração em lentes e espelhos e correção de defeitos de visão (miopia e hipermetropia)."
